           xmin         ymin         xmax         ymax  Confidence
0   3752.993896  2212.629150  3860.822266  2326.341064    0.742280
1   2118.338623  1575.925049  2245.922607  1707.384277    0.736565
2    911.183167  1684.420288  1002.946838  1763.320923    0.680480
3    126.499107  2866.478027   209.111099  2935.319580    0.678348
4   1244.731689  1489.218140  1319.534912  1584.178223    0.649654
5   2189.345459  2799.463623  2240.092041  2848.819092    0.542388
6   1231.855713  1948.578369  1280.513306  2005.489502    0.534065
7   2199.570312   159.100128  2240.005371   193.673203    0.514910
8     91.212166  1610.998535   152.185440  1655.762695    0.508658
9    707.691833  2201.720703   749.381958  2242.955078    0.451167
10  3906.068359  2593.401367  3936.759521  2624.872803    0.319085
